learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10100.0,0.375,3.4149141154355474E-9,10100.0,85.7,71.0028551034975,-4.379562043795624,68.5022026431718,10100.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10200.0,0.390625,3.590798264162408E-9,10200.0,85.0,69.58723799405531,-12.781954887218056,67.46203904555314,10200.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10300.0,0.390625,3.590798264162408E-9,10300.0,87.7,75.01015847216578,10.869565217391314,72.72727272727273,10300.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10400.0,0.390625,3.590798264162408E-9,10400.0,88.6,76.88376997323384,22.97297297297299,74.43946188340807,10400.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10500.0,0.40625,3.7666824128892685E-9,10500.0,89.5,78.78616453854858,37.125748502994036,77.65957446808511,10500.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10600.0,0.40625,3.7666824128892685E-9,10600.0,89.1,78.1069985297544,33.939393939393966,77.29166666666667,10600.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10700.0,0.40625,3.7666824128892685E-9,10700.0,92.0,83.97127652753736,52.66272189349116,84.06374501992032,10700.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10800.0,0.40625,3.7666824128892685E-9,10800.0,91.0,81.98407392134648,44.44444444444448,82.03592814371258,10800.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
10900.0,0.421875,3.942566561616129E-9,10900.0,90.9,81.79038532345079,46.470588235294144,82.33009708737865,10900.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11000.0,0.421875,3.942566561616129E-9,11000.0,90.5,80.96528067194564,46.927374301676004,80.96192384769539,11000.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11100.0,0.421875,3.942566561616129E-9,11100.0,90.10000000000001,79.849379198046,44.692737430167625,80.2,11100.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11200.0,0.421875,3.942566561616129E-9,11200.0,88.3,75.90291965992223,34.269662921348335,77.23735408560312,11200.0,43784.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11300.0,0.4375,4.119550188382466E-9,11300.0,87.0,72.4350846242902,27.777777777777796,73.41513292433538,11300.0,43784.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11400.0,0.4375,4.119550188382466E-9,11400.0,86.5,70.65242910931208,23.72881355932205,72.04968944099379,11400.0,43784.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11500.0,0.4375,4.119550188382466E-9,11500.0,85.9,69.10388107842793,15.060240963855431,69.14660831509846,11500.0,43784.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
11600.0,0.453125,4.296630827916993E-9,11600.0,85.5,68.25744308231172,8.805031446540887,69.53781512605042,11600.0,43808.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
